id,question,expected_answer
1,How many annual leave days does a full-time NexaCore employee receive?,"A full-time employee receives 25 working days of annual leave per leave year, plus applicable public holidays."
2,How many paid personal leave days are available each calendar year?,Employees may take up to 5 paid personal days per calendar year.
3,How many working days of company sick pay are provided at full salary?,NexaCore provides up to 10 working days of company sick pay per rolling 12-month period.
4,What percentage of base salary is paid during the company sick-pay period?,Company sick pay is paid at 100% of base salary for the company-paid sick-leave allowance.
5,How many weeks of enhanced maternity leave are paid at 100% base salary?,"NexaCore provides 16 weeks at 100% base salary, subject to local law and the employee's contract."
6,What happens to maternity pay after the company-enhanced period ends?,"After the 16-week company-enhanced period, statutory or contractual maternity pay applies for the remaining eligible period."
7,How many weeks of paternity or partner leave can an eligible employee take?,An eligible employee may take up to 4 weeks of company paternity/partner leave.
8,How much of the paternity leave is paid at 100% base salary?,The first 2 weeks are paid at 100% base salary. The remaining 2 weeks follow statutory or contractual arrangements.
9,Does NexaCore provide bereavement leave?,Yes. NexaCore may provide up to 5 paid working days following the death of an immediate family member.
10,How many paid days of bereavement leave may be granted for an immediate family member?,Up to 5 paid working days may be granted.
11,Does the policy provide adoption leave?,Yes. An employee who becomes the primary adopter may receive leave equivalent to the applicable maternity/primary-adopter entitlement. A partner may qualify for paternity/partner leave.
12,What happens to salary during approved unpaid leave?,No base salary is paid for the approved unpaid period. Benefits and pension treatment depend on the local plan and applicable law.
13,Can an employee's approved statutory leave automatically be treated as misconduct?,"No. Approved statutory or company leave should not, by itself, be treated as misconduct or a performance failure."
14,Which U.S. visa categories may NexaCore consider for employees?,"NexaCore may consider H-1B and L-1 visas, as well as other employment classifications where appropriate."
15,What is the general purpose of an H-1B visa in the NexaCore policy?,H-1B may be considered for a qualifying specialty occupation where the employee meets the required educational or experience criteria and the applicable sponsorship requirements.
16,What is the purpose of the L-1 visa route?,"L-1 may be used for a qualifying intracompany transfer where the employee and corporate group satisfy the applicable relationship, employment-history, and role requirements."
17,Which UK visa route does NexaCore identify as its primary sponsorship route?,The UK Skilled Worker route is identified as the primary sponsorship route for eligible roles.
18,What European immigration route is used as a common reference for highly qualified employees?,"The EU Blue Card is used as a common reference framework, although country-specific immigration routes may also apply."
19,Can an employee automatically work in another European country using permission obtained in their current country?,No. Permission to work in one European country does not automatically create a right to work in another country.
20,What should an employee do before changing their work country?,The employee should contact Global Mobility/HR and obtain the necessary assessment and approval before changing their work country.
